# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2011-09-30 09:35:31 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08220000 RIO GRANDE NEAR DEL NORTE, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 08220000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
# 5s	15s	20d	14n	10s
USGS	08220000	2000-01-27	190	A:e
USGS	08220000	2000-01-28	180	A:e
USGS	08220000	2000-01-29	170	A:e
USGS	08220000	2000-01-30	170	A:e
USGS	08220000	2000-01-31	180	A:e
USGS	08220000	2000-02-01	190	A:e
USGS	08220000	2000-02-02	200	A:e
USGS	08220000	2000-02-03	200	A:e
USGS	08220000	2000-02-04	190	A:e
USGS	08220000	2000-02-05	190	A:e
USGS	08220000	2000-02-06	200	A:e
USGS	08220000	2000-02-07	200	A:e
USGS	08220000	2000-02-08	200	A:e
USGS	08220000	2000-02-09	210	A:e
USGS	08220000	2000-02-10	210	A:e
USGS	08220000	2000-02-11	210	A:e
USGS	08220000	2000-02-12	200	A:e
USGS	08220000	2000-02-13	200	A:e
USGS	08220000	2000-02-14	210	A:e
USGS	08220000	2000-02-15	210	A:e
USGS	08220000	2000-02-16	200	A:e
USGS	08220000	2000-02-17	200	A:e
USGS	08220000	2000-02-18	190	A:e
USGS	08220000	2000-02-19	190	A:e
USGS	08220000	2000-02-20	194	A
USGS	08220000	2000-02-21	211	A
USGS	08220000	2000-02-22	216	A
USGS	08220000	2000-02-23	200	A
USGS	08220000	2000-02-24	209	A
USGS	08220000	2000-02-25	191	A
USGS	08220000	2000-02-26	189	A
USGS	08220000	2000-02-27	197	A
USGS	08220000	2000-02-28	214	A
USGS	08220000	2000-02-29	205	A
USGS	08220000	2000-03-01	202	A
USGS	08220000	2000-03-02	204	A
USGS	08220000	2000-03-03	199	A
USGS	08220000	2000-03-04	207	A
USGS	08220000	2000-03-05	219	A
USGS	08220000	2000-03-06	206	A
USGS	08220000	2000-03-07	208	A
USGS	08220000	2000-03-08	205	A
USGS	08220000	2000-03-09	208	A
USGS	08220000	2000-03-10	192	A
USGS	08220000	2000-03-11	181	A
USGS	08220000	2000-03-12	197	A
USGS	08220000	2000-03-13	199	A
USGS	08220000	2000-03-14	200	A
USGS	08220000	2000-03-15	216	A
USGS	08220000	2000-03-16	212	A
USGS	08220000	2000-03-17	215	A
USGS	08220000	2000-03-18	212	A
USGS	08220000	2000-03-19	193	A
USGS	08220000	2000-03-20	220	A
USGS	08220000	2000-03-21	221	A
USGS	08220000	2000-03-22	216	A
USGS	08220000	2000-03-23	217	A
USGS	08220000	2000-03-24	224	A
USGS	08220000	2000-03-25	243	A
USGS	08220000	2000-03-26	258	A
USGS	08220000	2000-03-27	287	A
USGS	08220000	2000-03-28	335	A
USGS	08220000	2000-03-29	318	A
USGS	08220000	2000-03-30	310	A
USGS	08220000	2000-03-31	309	A
USGS	08220000	2000-04-01	268	A
USGS	08220000	2000-04-02	265	A
USGS	08220000	2000-04-03	272	A
USGS	08220000	2000-04-04	281	A
USGS	08220000	2000-04-05	369	A
USGS	08220000	2000-04-06	468	A
USGS	08220000	2000-04-07	533	A
USGS	08220000	2000-04-08	573	A
USGS	08220000	2000-04-09	571	A
USGS	08220000	2000-04-10	680	A
USGS	08220000	2000-04-11	668	A
USGS	08220000	2000-04-12	600	A
USGS	08220000	2000-04-13	637	A
USGS	08220000	2000-04-14	700	A
USGS	08220000	2000-04-15	713	A
USGS	08220000	2000-04-16	591	A
USGS	08220000	2000-04-17	584	A
USGS	08220000	2000-04-18	727	A
USGS	08220000	2000-04-19	906	A
USGS	08220000	2000-04-20	820	A
USGS	08220000	2000-04-21	884	A
USGS	08220000	2000-04-22	980	A
USGS	08220000	2000-04-23	886	A
USGS	08220000	2000-04-24	966	A
USGS	08220000	2000-04-25	1080	A
USGS	08220000	2000-04-26	1180	A
USGS	08220000	2000-04-27	1480	A
USGS	08220000	2000-04-28	1810	A
USGS	08220000	2000-04-29	2090	A
USGS	08220000	2000-04-30	1870	A
USGS	08220000	2000-05-01	1550	A
USGS	08220000	2000-05-02	1390	A
USGS	08220000	2000-05-03	1720	A
USGS	08220000	2000-05-04	2340	A
USGS	08220000	2000-05-05	3110	A
USGS	08220000	2000-05-06	3280	A
USGS	08220000	2000-05-07	2930	A
USGS	08220000	2000-05-08	3060	A
USGS	08220000	2000-05-09	2760	A
USGS	08220000	2000-05-10	2510	A
USGS	08220000	2000-05-11	2720	A
USGS	08220000	2000-05-12	2580	A
USGS	08220000	2000-05-13	2100	A
USGS	08220000	2000-05-14	1790	A
USGS	08220000	2000-05-15	1530	A
USGS	08220000	2000-05-16	1570	A
USGS	08220000	2000-05-17	1530	A
USGS	08220000	2000-05-18	1460	A
USGS	08220000	2000-05-19	1670	A
USGS	08220000	2000-05-20	1620	A
USGS	08220000	2000-05-21	1630	A
USGS	08220000	2000-05-22	2230	A
USGS	08220000	2000-05-23	2960	A
USGS	08220000	2000-05-24	3350	A
USGS	08220000	2000-05-25	3400	A
USGS	08220000	2000-05-26	3110	A
USGS	08220000	2000-05-27	2500	A
USGS	08220000	2000-05-28	2310	A
USGS	08220000	2000-05-29	2680	A
USGS	08220000	2000-05-30	3090	A
USGS	08220000	2000-05-31	2530	A
USGS	08220000	2000-06-01	2430	A
USGS	08220000	2000-06-02	2360	A
USGS	08220000	2000-06-03	2250	A
USGS	08220000	2000-06-04	1620	A
USGS	08220000	2000-06-05	1860	A
USGS	08220000	2000-06-06	1970	A
USGS	08220000	2000-06-07	1830	A
USGS	08220000	2000-06-08	1760	A
USGS	08220000	2000-06-09	1700	A
USGS	08220000	2000-06-10	1670	A
USGS	08220000	2000-06-11	1520	A
USGS	08220000	2000-06-12	1490	A
USGS	08220000	2000-06-13	1110	A
USGS	08220000	2000-06-14	908	A
USGS	08220000	2000-06-15	842	A
USGS	08220000	2000-06-16	824	A
USGS	08220000	2000-06-17	794	A
USGS	08220000	2000-06-18	775	A
USGS	08220000	2000-06-19	790	A
USGS	08220000	2000-06-20	681	A
USGS	08220000	2000-06-21	619	A
USGS	08220000	2000-06-22	582	A
USGS	08220000	2000-06-23	525	A
USGS	08220000	2000-06-24	520	A
USGS	08220000	2000-06-25	508	A
USGS	08220000	2000-06-26	507	A
USGS	08220000	2000-06-27	487	A
USGS	08220000	2000-06-28	492	A
USGS	08220000	2000-06-29	459	A
USGS	08220000	2000-06-30	458	A
USGS	08220000	2000-07-01	443	A
USGS	08220000	2000-07-02	413	A
USGS	08220000	2000-07-03	395	A
USGS	08220000	2000-07-04	366	A
USGS	08220000	2000-07-05	387	A
USGS	08220000	2000-07-06	404	A
USGS	08220000	2000-07-07	375	A
USGS	08220000	2000-07-08	386	A
USGS	08220000	2000-07-09	374	A
USGS	08220000	2000-07-10	367	A
USGS	08220000	2000-07-11	367	A
USGS	08220000	2000-07-12	303	A
USGS	08220000	2000-07-13	330	A
USGS	08220000	2000-07-14	325	A
USGS	08220000	2000-07-15	320	A
USGS	08220000	2000-07-16	324	A
USGS	08220000	2000-07-17	354	A
USGS	08220000	2000-07-18	360	A
USGS	08220000	2000-07-19	344	A
USGS	08220000	2000-07-20	320	A
USGS	08220000	2000-07-21	285	A
USGS	08220000	2000-07-22	264	A
USGS	08220000	2000-07-23	246	A
USGS	08220000	2000-07-24	238	A
USGS	08220000	2000-07-25	227	A
USGS	08220000	2000-07-26	212	A
USGS	08220000	2000-07-27	212	A
USGS	08220000	2000-07-28	212	A
USGS	08220000	2000-07-29	208	A
USGS	08220000	2000-07-30	213	A
USGS	08220000	2000-07-31	217	A
USGS	08220000	2000-08-01	207	A
USGS	08220000	2000-08-02	202	A
USGS	08220000	2000-08-03	218	A
USGS	08220000	2000-08-04	230	A
USGS	08220000	2000-08-05	248	A
USGS	08220000	2000-08-06	227	A
USGS	08220000	2000-08-07	205	A
USGS	08220000	2000-08-08	197	A
USGS	08220000	2000-08-09	180	A
USGS	08220000	2000-08-10	173	A
USGS	08220000	2000-08-11	173	A
USGS	08220000	2000-08-12	185	A
USGS	08220000	2000-08-13	201	A
USGS	08220000	2000-08-14	219	A
USGS	08220000	2000-08-15	250	A
USGS	08220000	2000-08-16	281	A
USGS	08220000	2000-08-17	265	A
USGS	08220000	2000-08-18	258	A
USGS	08220000	2000-08-19	304	A
USGS	08220000	2000-08-20	367	A
USGS	08220000	2000-08-21	362	A
USGS	08220000	2000-08-22	314	A
USGS	08220000	2000-08-23	356	A
USGS	08220000	2000-08-24	346	A
USGS	08220000	2000-08-25	347	A
USGS	08220000	2000-08-26	362	A
USGS	08220000	2000-08-27	352	A
USGS	08220000	2000-08-28	324	A
USGS	08220000	2000-08-29	302	A
USGS	08220000	2000-08-30	298	A
USGS	08220000	2000-08-31	318	A
USGS	08220000	2000-09-01	274	A
USGS	08220000	2000-09-02	246	A
USGS	08220000	2000-09-03	233	A
USGS	08220000	2000-09-04	220	A
USGS	08220000	2000-09-05	226	A
USGS	08220000	2000-09-06	250	A
USGS	08220000	2000-09-07	251	A
USGS	08220000	2000-09-08	263	A
USGS	08220000	2000-09-09	275	A
USGS	08220000	2000-09-10	268	A
USGS	08220000	2000-09-11	246	A
USGS	08220000	2000-09-12	243	A
USGS	08220000	2000-09-13	236	A
USGS	08220000	2000-09-14	236	A
USGS	08220000	2000-09-15	231	A
USGS	08220000	2000-09-16	222	A
USGS	08220000	2000-09-17	222	A
USGS	08220000	2000-09-18	223	A
USGS	08220000	2000-09-19	250	A
USGS	08220000	2000-09-20	239	A
USGS	08220000	2000-09-21	231	A
USGS	08220000	2000-09-22	260	A
USGS	08220000	2000-09-23	308	A
USGS	08220000	2000-09-24	339	A
USGS	08220000	2000-09-25	296	A
USGS	08220000	2000-09-26	254	A
USGS	08220000	2000-09-27	236	A
USGS	08220000	2000-09-28	222	A
USGS	08220000	2000-09-29	226	A
USGS	08220000	2000-09-30	254	A
USGS	08220000	2000-10-01	245	A
USGS	08220000	2000-10-02	234	A
USGS	08220000	2000-10-03	229	A
USGS	08220000	2000-10-04	233	A
USGS	08220000	2000-10-05	260	A
USGS	08220000	2000-10-06	255	A
USGS	08220000	2000-10-07	238	A
USGS	08220000	2000-10-08	246	A
USGS	08220000	2000-10-09	278	A
USGS	08220000	2000-10-10	268	A
USGS	08220000	2000-10-11	287	A
USGS	08220000	2000-10-12	449	A
USGS	08220000	2000-10-13	462	A
USGS	08220000	2000-10-14	400	A
USGS	08220000	2000-10-15	358	A
USGS	08220000	2000-10-16	336	A
USGS	08220000	2000-10-17	335	A
USGS	08220000	2000-10-18	320	A
USGS	08220000	2000-10-19	317	A
USGS	08220000	2000-10-20	320	A
USGS	08220000	2000-10-21	300	A
USGS	08220000	2000-10-22	295	A
USGS	08220000	2000-10-23	318	A
USGS	08220000	2000-10-24	413	A
USGS	08220000	2000-10-25	414	A
USGS	08220000	2000-10-26	365	A
USGS	08220000	2000-10-27	351	A
USGS	08220000	2000-10-28	429	A
USGS	08220000	2000-10-29	452	A
USGS	08220000	2000-10-30	413	A
USGS	08220000	2000-10-31	421	A
USGS	08220000	2000-11-01	356	A
USGS	08220000	2000-11-02	261	A
USGS	08220000	2000-11-03	236	A
USGS	08220000	2000-11-04	246	A
USGS	08220000	2000-11-05	234	A
USGS	08220000	2000-11-06	205	A
USGS	08220000	2000-11-07	167	A
USGS	08220000	2000-11-08	155	A:e
USGS	08220000	2000-11-09	191	A
USGS	08220000	2000-11-10	214	A
USGS	08220000	2000-11-11	227	A
USGS	08220000	2000-11-12	175	A:e
USGS	08220000	2000-11-13	170	A:e
USGS	08220000	2000-11-14	180	A:e
USGS	08220000	2000-11-15	200	A:e
USGS	08220000	2000-11-16	190	A:e
USGS	08220000	2000-11-17	190	A:e
USGS	08220000	2000-11-18	160	A:e
USGS	08220000	2000-11-19	170	A:e
USGS	08220000	2000-11-20	170	A:e
USGS	08220000	2000-11-21	180	A:e
USGS	08220000	2000-11-22	200	A:e
USGS	08220000	2000-11-23	200	A:e
USGS	08220000	2000-11-24	190	A:e
USGS	08220000	2000-11-25	180	A:e
USGS	08220000	2000-11-26	180	A:e
USGS	08220000	2000-11-27	190	A:e
USGS	08220000	2000-11-28	190	A:e
USGS	08220000	2000-11-29	190	A:e
USGS	08220000	2000-11-30	190	A:e
USGS	08220000	2000-12-01	180	A:e
USGS	08220000	2000-12-02	170	A:e
USGS	08220000	2000-12-03	165	A:e
USGS	08220000	2000-12-04	165	A:e
USGS	08220000	2000-12-05	160	A:e
USGS	08220000	2000-12-06	160	A:e
USGS	08220000	2000-12-07	160	A:e
USGS	08220000	2000-12-08	160	A:e
USGS	08220000	2000-12-09	170	A:e
USGS	08220000	2000-12-10	170	A:e
USGS	08220000	2000-12-11	160	A:e
USGS	08220000	2000-12-12	160	A:e
USGS	08220000	2000-12-13	160	A:e
USGS	08220000	2000-12-14	169	A
USGS	08220000	2000-12-15	163	A
USGS	08220000	2000-12-16	146	A
USGS	08220000	2000-12-17	145	A:e
USGS	08220000	2000-12-18	140	A:e
USGS	08220000	2000-12-19	145	A:e
USGS	08220000	2000-12-20	159	A
USGS	08220000	2000-12-21	150	A:e
USGS	08220000	2000-12-22	165	A
USGS	08220000	2000-12-23	168	A
USGS	08220000	2000-12-24	160	A:e
USGS	08220000	2000-12-25	175	A
USGS	08220000	2000-12-26	165	A:e
USGS	08220000	2000-12-27	155	A:e
USGS	08220000	2000-12-28	160	A:e
USGS	08220000	2000-12-29	165	A:e
USGS	08220000	2000-12-30	165	A:e
USGS	08220000	2000-12-31	175	A:e
USGS	08220000	2001-01-01	160	A:e
USGS	08220000	2001-01-02	160	A:e
USGS	08220000	2001-01-03	160	A:e
USGS	08220000	2001-01-04	160	A:e
USGS	08220000	2001-01-05	160	A:e
USGS	08220000	2001-01-06	160	A:e
USGS	08220000	2001-01-07	160	A:e
USGS	08220000	2001-01-08	140	A:e
USGS	08220000	2001-01-09	140	A:e
USGS	08220000	2001-01-10	150	A:e
USGS	08220000	2001-01-11	140	A:e
USGS	08220000	2001-01-12	140	A:e
USGS	08220000	2001-01-13	150	A:e
USGS	08220000	2001-01-14	140	A:e
USGS	08220000	2001-01-15	140	A:e
USGS	08220000	2001-01-16	130	A:e
USGS	08220000	2001-01-17	120	A:e
USGS	08220000	2001-01-18	120	A:e
USGS	08220000	2001-01-19	120	A:e
USGS	08220000	2001-01-20	130	A:e
USGS	08220000	2001-01-21	130	A:e
USGS	08220000	2001-01-22	130	A:e
USGS	08220000	2001-01-23	140	A:e
USGS	08220000	2001-01-24	130	A:e
USGS	08220000	2001-01-25	140	A:e
USGS	08220000	2001-01-26	130	A:e
USGS	08220000	2001-01-27	140	A:e
USGS	08220000	2001-01-28	140	A:e
USGS	08220000	2001-01-29	140	A:e
USGS	08220000	2001-01-30	130	A:e
USGS	08220000	2001-01-31	120	A:e
USGS	08220000	2001-02-01	120	A:e
USGS	08220000	2001-02-02	120	A:e
USGS	08220000	2001-02-03	130	A:e
USGS	08220000	2001-02-04	130	A:e
USGS	08220000	2001-02-05	130	A:e
USGS	08220000	2001-02-06	140	A:e
USGS	08220000	2001-02-07	150	A:e
USGS	08220000	2001-02-08	140	A:e
USGS	08220000	2001-02-09	130	A:e
USGS	08220000	2001-02-10	130	A:e
USGS	08220000	2001-02-11	150	A:e
USGS	08220000	2001-02-12	140	A:e
USGS	08220000	2001-02-13	150	A:e
USGS	08220000	2001-02-14	150	A:e
USGS	08220000	2001-02-15	140	A:e
USGS	08220000	2001-02-16	140	A:e
USGS	08220000	2001-02-17	150	A:e
USGS	08220000	2001-02-18	160	A:e
USGS	08220000	2001-02-19	160	A:e
USGS	08220000	2001-02-20	160	A:e
USGS	08220000	2001-02-21	160	A:e
USGS	08220000	2001-02-22	170	A:e
USGS	08220000	2001-02-23	170	A:e
USGS	08220000	2001-02-24	160	A:e
USGS	08220000	2001-02-25	150	A:e
USGS	08220000	2001-02-26	150	A:e
USGS	08220000	2001-02-27	160	A:e
USGS	08220000	2001-02-28	160	A:e
USGS	08220000	2001-03-01	160	A:e
USGS	08220000	2001-03-02	160	A:e
USGS	08220000	2001-03-03	170	A:e
USGS	08220000	2001-03-04	180	A:e
USGS	08220000	2001-03-05	190	A:e
USGS	08220000	2001-03-06	195	A:e
USGS	08220000	2001-03-07	190	A:e
USGS	08220000	2001-03-08	195	A:e
USGS	08220000	2001-03-09	195	A:e
USGS	08220000	2001-03-10	190	A:e
USGS	08220000	2001-03-11	190	A:e
USGS	08220000	2001-03-12	195	A
USGS	08220000	2001-03-13	193	A
USGS	08220000	2001-03-14	203	A
USGS	08220000	2001-03-15	195	A
USGS	08220000	2001-03-16	194	A
USGS	08220000	2001-03-17	202	A
USGS	08220000	2001-03-18	197	A
USGS	08220000	2001-03-19	202	A
USGS	08220000	2001-03-20	217	A
USGS	08220000	2001-03-21	249	A
USGS	08220000	2001-03-22	290	A
USGS	08220000	2001-03-23	334	A
USGS	08220000	2001-03-24	398	A
USGS	08220000	2001-03-25	505	A
USGS	08220000	2001-03-26	531	A
USGS	08220000	2001-03-27	500	A
USGS	08220000	2001-03-28	484	A
USGS	08220000	2001-03-29	444	A
USGS	08220000	2001-03-30	406	A
USGS	08220000	2001-03-31	430	A
USGS	08220000	2001-04-01	518	A
USGS	08220000	2001-04-02	698	A
USGS	08220000	2001-04-03	752	A
USGS	08220000	2001-04-04	805	A
USGS	08220000	2001-04-05	856	A
USGS	08220000	2001-04-06	677	A
USGS	08220000	2001-04-07	506	A
USGS	08220000	2001-04-08	487	A
USGS	08220000	2001-04-09	425	A
USGS	08220000	2001-04-10	427	A
USGS	08220000	2001-04-11	400	A
USGS	08220000	2001-04-12	373	A
USGS	08220000	2001-04-13	356	A
USGS	08220000	2001-04-14	368	A
USGS	08220000	2001-04-15	399	A
USGS	08220000	2001-04-16	487	A
USGS	08220000	2001-04-17	631	A
USGS	08220000	2001-04-18	864	A
USGS	08220000	2001-04-19	1270	A
USGS	08220000	2001-04-20	1340	A
USGS	08220000	2001-04-21	1120	A
USGS	08220000	2001-04-22	983	A
USGS	08220000	2001-04-23	817	A
USGS	08220000	2001-04-24	801	A
USGS	08220000	2001-04-25	875	A
USGS	08220000	2001-04-26	1140	A
USGS	08220000	2001-04-27	1450	A
USGS	08220000	2001-04-28	1720	A
USGS	08220000	2001-04-29	2140	A
USGS	08220000	2001-04-30	2560	A
USGS	08220000	2001-05-01	2990	A
USGS	08220000	2001-05-02	3670	A
USGS	08220000	2001-05-03	3470	A
USGS	08220000	2001-05-04	2880	A
USGS	08220000	2001-05-05	2480	A
USGS	08220000	2001-05-06	1830	A
USGS	08220000	2001-05-07	1650	A
USGS	08220000	2001-05-08	1690	A
USGS	08220000	2001-05-09	2140	A
USGS	08220000	2001-05-10	2600	A
USGS	08220000	2001-05-11	3160	A
USGS	08220000	2001-05-12	3990	A
USGS	08220000	2001-05-13	4440	A
USGS	08220000	2001-05-14	5110	A
USGS	08220000	2001-05-15	5090	A
USGS	08220000	2001-05-16	5000	A
USGS	08220000	2001-05-17	4830	A
USGS	08220000	2001-05-18	5210	A
USGS	08220000	2001-05-19	5340	A
USGS	08220000	2001-05-20	5680	A
USGS	08220000	2001-05-21	5720	A
USGS	08220000	2001-05-22	4620	A
USGS	08220000	2001-05-23	4930	A
USGS	08220000	2001-05-24	5180	A
USGS	08220000	2001-05-25	5400	A
USGS	08220000	2001-05-26	5510	A
USGS	08220000	2001-05-27	5450	A
USGS	08220000	2001-05-28	5910	A
USGS	08220000	2001-05-29	5710	A
USGS	08220000	2001-05-30	5120	A
USGS	08220000	2001-05-31	5080	A
USGS	08220000	2001-06-01	5090	A
USGS	08220000	2001-06-02	5600	A
USGS	08220000	2001-06-03	5200	A
USGS	08220000	2001-06-04	4930	A
USGS	08220000	2001-06-05	4420	A
USGS	08220000	2001-06-06	4200	A
USGS	08220000	2001-06-07	4370	A
USGS	08220000	2001-06-08	4400	A
USGS	08220000	2001-06-09	4470	A
USGS	08220000	2001-06-10	4440	A
USGS	08220000	2001-06-11	4210	A
USGS	08220000	2001-06-12	4010	A
USGS	08220000	2001-06-13	3700	A
USGS	08220000	2001-06-14	3270	A
USGS	08220000	2001-06-15	2850	A
USGS	08220000	2001-06-16	2480	A
USGS	08220000	2001-06-17	2550	A
USGS	08220000	2001-06-18	2740	A
USGS	08220000	2001-06-19	2810	A
USGS	08220000	2001-06-20	2820	A
USGS	08220000	2001-06-21	2750	A
USGS	08220000	2001-06-22	2670	A
USGS	08220000	2001-06-23	2580	A
USGS	08220000	2001-06-24	2530	A
USGS	08220000	2001-06-25	2470	A
USGS	08220000	2001-06-26	2690	A
USGS	08220000	2001-06-27	2660	A
USGS	08220000	2001-06-28	2490	A
USGS	08220000	2001-06-29	2330	A
USGS	08220000	2001-06-30	2360	A
USGS	08220000	2001-07-01	2360	A
USGS	08220000	2001-07-02	2410	A
USGS	08220000	2001-07-03	2380	A
USGS	08220000	2001-07-04	2220	A
USGS	08220000	2001-07-05	1450	A
USGS	08220000	2001-07-06	1400	A
USGS	08220000	2001-07-07	1370	A
USGS	08220000	2001-07-08	1350	A
USGS	08220000	2001-07-09	1410	A
USGS	08220000	2001-07-10	1450	A
USGS	08220000	2001-07-11	1330	A
USGS	08220000	2001-07-12	1220	A
USGS	08220000	2001-07-13	1160	A
USGS	08220000	2001-07-14	1220	A
USGS	08220000	2001-07-15	1200	A
USGS	08220000	2001-07-16	1310	A
USGS	08220000	2001-07-17	943	A
USGS	08220000	2001-07-18	801	A
USGS	08220000	2001-07-19	766	A
USGS	08220000	2001-07-20	751	A
USGS	08220000	2001-07-21	718	A
USGS	08220000	2001-07-22	758	A
USGS	08220000	2001-07-23	739	A
USGS	08220000	2001-07-24	685	A
USGS	08220000	2001-07-25	679	A
USGS	08220000	2001-07-26	643	A
USGS	08220000	2001-07-27	637	A
USGS	08220000	2001-07-28	601	A
USGS	08220000	2001-07-29	556	A
USGS	08220000	2001-07-30	519	A
USGS	08220000	2001-07-31	539	A
USGS	08220000	2001-08-01	665	A
USGS	08220000	2001-08-02	813	A
USGS	08220000	2001-08-03	771	A
USGS	08220000	2001-08-04	780	A
USGS	08220000	2001-08-05	746	A
USGS	08220000	2001-08-06	733	A
USGS	08220000	2001-08-07	808	A
USGS	08220000	2001-08-08	789	A
USGS	08220000	2001-08-09	807	A
USGS	08220000	2001-08-10	822	A
USGS	08220000	2001-08-11	863	A
USGS	08220000	2001-08-12	834	A
USGS	08220000	2001-08-13	784	A
USGS	08220000	2001-08-14	949	A
USGS	08220000	2001-08-15	995	A
USGS	08220000	2001-08-16	900	A
USGS	08220000	2001-08-17	841	A
USGS	08220000	2001-08-18	776	A
USGS	08220000	2001-08-19	737	A
USGS	08220000	2001-08-20	689	A
USGS	08220000	2001-08-21	649	A
USGS	08220000	2001-08-22	645	A
USGS	08220000	2001-08-23	672	A
USGS	08220000	2001-08-24	622	A
USGS	08220000	2001-08-25	589	A
USGS	08220000	2001-08-26	579	A
USGS	08220000	2001-08-27	558	A
USGS	08220000	2001-08-28	504	A
USGS	08220000	2001-08-29	488	A
USGS	08220000	2001-08-30	473	A
USGS	08220000	2001-08-31	499	A
USGS	08220000	2001-09-01	494	A
USGS	08220000	2001-09-02	462	A
USGS	08220000	2001-09-03	443	A
USGS	08220000	2001-09-04	413	A
USGS	08220000	2001-09-05	424	A
USGS	08220000	2001-09-06	392	A
USGS	08220000	2001-09-07	377	A
USGS	08220000	2001-09-08	341	A
USGS	08220000	2001-09-09	331	A
USGS	08220000	2001-09-10	327	A
USGS	08220000	2001-09-11	334	A
USGS	08220000	2001-09-12	331	A
USGS	08220000	2001-09-13	333	A
USGS	08220000	2001-09-14	348	A
USGS	08220000	2001-09-15	341	A
USGS	08220000	2001-09-16	317	A
USGS	08220000	2001-09-17	317	A
USGS	08220000	2001-09-18	328	A
USGS	08220000	2001-09-19	321	A
USGS	08220000	2001-09-20	305	A
USGS	08220000	2001-09-21	290	A
USGS	08220000	2001-09-22	290	A
USGS	08220000	2001-09-23	293	A
USGS	08220000	2001-09-24	288	A
USGS	08220000	2001-09-25	285	A
USGS	08220000	2001-09-26	294	A
USGS	08220000	2001-09-27	290	A
USGS	08220000	2001-09-28	289	A
USGS	08220000	2001-09-29	288	A
USGS	08220000	2001-09-30	286	A
USGS	08220000	2001-10-01	283	A
USGS	08220000	2001-10-02	283	A
USGS	08220000	2001-10-03	284	A
USGS	08220000	2001-10-04	274	A
USGS	08220000	2001-10-05	265	A
USGS	08220000	2001-10-06	256	A
USGS	08220000	2001-10-07	258	A
USGS	08220000	2001-10-08	260	A
USGS	08220000	2001-10-09	267	A
USGS	08220000	2001-10-10	291	A
USGS	08220000	2001-10-11	275	A
USGS	08220000	2001-10-12	267	A
USGS	08220000	2001-10-13	269	A
USGS	08220000	2001-10-14	261	A
USGS	08220000	2001-10-15	258	A
USGS	08220000	2001-10-16	257	A
USGS	08220000	2001-10-17	265	A
USGS	08220000	2001-10-18	264	A
USGS	08220000	2001-10-19	262	A
