RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            6     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   21   28     1     0  con    0  1.0D+00  4.7D-01  9.845D+00  1.566D+01
   22   30     1     0  con    1  1.5D-01  4.5D-01  9.739D+00  1.521D+01
   23   32     1     0  con    1  1.6D-01  3.5D-01  9.650D+00  1.485D+01
   24   33     1     0  con    0  1.0D+00  5.6D-01  9.474D+00  1.437D+01
   25   34     1     0  con    0  1.0D+00  1.7D-01  9.488D+00  1.301D+01
   26   35     1     0  con    0  1.0D+00  1.4D-01  9.697D-01  1.251D+01
   27   37     1     0  con    1  2.4D-01  8.2D-02  3.315D+00  1.247D+01
   28   38     1     0  con    0  1.0D+00  3.2D-02  2.563D+00  1.242D+01
   29   39     1     0  con    0  1.0D+00  2.5D-02  9.662D-01  1.240D+01
   30   40     1     0  con    0  1.0D+00  6.9D-02  9.496D-01  1.238D+01
   31   41     1     0  con    0  1.0D+00  2.8D-02  1.452D-01  1.237D+01
   32   42     1     0  con    0  1.0D+00  6.3D-03  1.456D-01  1.237D+01
   33   43     1     0  con    0  1.0D+00  1.4D-03  1.457D-01  1.237D+01
   34   44     1     0  con    0  1.0D+00  4.0D-04  1.458D-01  1.237D+01
   35   45     1     0  con    0  1.0D+00  2.4D-03  3.138D-01  1.237D+01
   36   46     1     0  con    0  1.0D+00  3.2D-03  4.651D-01  1.237D+01
   37   47     1     0  con    0  1.0D+00  6.8D-03  9.357D-01  1.237D+01
   38   48     1     0  con    0  1.0D+00  1.5D-02  9.674D-01  1.237D+01
   39   50     1     0  con    1  4.7D-01  1.7D-02  9.676D-01  1.237D+01
   40   51     1     0  con    0  1.0D+00  3.0D-02  9.677D-01  1.237D+01
   41   52     1     0  con    0  1.0D+00  1.5D-01  9.679D-01  1.235D+01
   42   53     1     0  con    0  1.0D+00  3.0D-01  1.846D+00  1.233D+01
   43   54     1     0  con    0  1.0D+00  7.1D-01  5.077D+00  1.227D+01
   44   55     1     0  con    0  1.0D+00  1.6D+00  7.812D+00  1.214D+01
   45   56     1     0  con    0  1.0D+00  4.3D+00  9.411D+00  1.182D+01
   46   58     1     0  con    1  4.5D-01  2.7D+00  8.915D+00  1.168D+01
   47   59     1     0  con    0  1.0D+00  3.2D+00  4.732D+00  1.152D+01
   48   60     1     0  con    0  1.0D+00  9.9D-01  1.808D+00  1.149D+01
   49   61     1     0  con    0  1.0D+00  5.8D-01  9.541D-01  1.148D+01
   50   62     1     0  con    0  1.0D+00  1.6D-01  8.738D-01  1.148D+01
   51   63     1     0  con    0  1.0D+00  2.6D-02  9.178D-02  1.148D+01
   52   64     1     0  con    0  1.0D+00  3.4D-02  4.312D-02  1.148D+01
   53   66     1     0  con    1  2.6D-01  4.1D-03  1.748D-02  1.148D+01
   54   67     1     0  con    0  1.0D+00  7.4D-04  1.001D-02  1.148D+01
   55   70     1     0  con    2  2.1D+01  4.5D-03  3.199D-02  1.148D+01
   56   71     1     0  con    0  1.0D+00  1.6D-02  1.672D-01  1.148D+01
   57   72     1     0  con    0  1.0D+00  2.8D-02  3.955D-01  1.148D+01
   58   73     1     0  con    0  1.0D+00  4.6D-02  7.522D-01  1.148D+01
   59   74     1     0  con    0  1.0D+00  8.6D-02  9.568D-01  1.148D+01
   60   75     1     0  con    0  1.0D+00  1.7D-01  9.568D-01  1.148D+01
   61   76     1     0  con    0  1.0D+00  3.6D-01  9.568D-01  1.148D+01
   62   77     1     0  con    0  1.0D+00  8.1D-01  9.566D-01  1.147D+01
   63   78     1     0  con    0  1.0D+00  1.8D+00  9.559D-01  1.147D+01
   64   79     1     0  con    0  1.0D+00  2.6D+00  9.543D-01  1.145D+01
   65   80     1     0  con    0  1.0D+00  1.6D+00  9.524D-01  1.144D+01
   66   81     1     0  con    0  1.0D+00  2.1D+00  9.492D-01  1.142D+01
   67   83     1     0  con    1  2.3D-01  3.5D-01  9.286D-01  1.141D+01
   68   84     1     0  con    0  1.0D+00  4.1D-01  8.540D-01  1.141D+01
   69   86     1     0  con    1  2.7D-01  6.3D-02  5.874D-01  1.141D+01
   70   87     1     0  con    0  1.0D+00  1.8D-01  3.672D-01  1.141D+01
   71   88     1     0  con    0  1.0D+00  1.2D-01  4.113D-02  1.141D+01
   72   89     1     0  con    0  1.0D+00  2.7D-03  2.610D-02  1.141D+01
   73   90     1     0  con    0  1.0D+00  1.2D-02  7.942D-02  1.141D+01
   74   91     1     0  con    0  1.0D+00  9.7D-03  5.244D-02  1.141D+01
   75   92     1     0  con    0  1.0D+00  6.4D-03  6.761D-03  1.141D+01
   76   93     1     0  con    0  1.0D+00  1.3D-03  5.752D-04  1.141D+01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

